incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152023517-00,2015-03-23 22:02:00+00,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152025357-00,2015-03-28 20:48:08+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152025087-00,2015-03-27 14:44:43+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152025018-00,2015-03-27 18:40:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I152025097-00,2015-03-27 10:54:14+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152026045-00,2015-03-31 11:26:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152026103-00,2015-03-31 11:26:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152026538-00,2015-04-01 20:29:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152027279-00,2015-04-03 23:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152027279-00,2015-04-03 23:15:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152028043-00,2015-04-06 21:17:12+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152028582-00,2015-04-08 20:21:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152028599-00,2015-04-08 20:20:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152028762-00,2015-04-09 15:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152029808-00,2015-04-12 21:51:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152029808-00,2015-04-12 21:51:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152033518-00,2015-04-24 23:00:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152034171-00,2015-04-27 10:15:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152034689-00,2015-04-28 17:53:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152035802-00,2015-05-02 15:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036137-00,2015-05-03 19:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036159-00,2015-05-03 20:02:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152036563-00,2015-05-05 04:03:00+00,E5,Non-Fatal,Male,Unknown,Unknown,f
I152038380-00,2015-05-10 13:40:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
