incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I162101338,2016-12-12 14:55:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162101338,2016-12-12 20:03:00+00,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I162102801,2016-12-17 20:08:14+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162104173,2016-12-22 16:52:00+00,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I162104474,2016-12-23 18:15:21+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162105651,2016-12-28 22:00:04+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I162106131,2016-12-30 16:29:57+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172000047,2017-01-01 02:27:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,t
I172000047,2017-01-01 02:27:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,t
I172002024,2017-01-08 13:44:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172002902,2017-01-11 18:45:43+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172002902,2017-01-11 18:45:52+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172002970,2017-01-11 22:29:47+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172002376,2017-01-09 19:27:14+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172004542,2017-01-17 22:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172005603,2017-01-21 16:45:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I172005625,2017-01-21 18:34:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172005430,2017-01-21 02:19:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172005430,2017-01-21 02:19:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172006241,2017-01-23 21:43:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,f
I172007832,2017-01-29 07:03:07+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I172007456,2017-01-27 22:48:22+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172008070,2017-01-30 06:24:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172008274,2017-01-30 18:39:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172009839,2017-02-05 17:49:00+00,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172009433,2017-02-04 00:17:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172010342,2017-02-07 20:12:07+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I172013903,2017-02-20 14:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172014254,2017-02-21 17:09:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,f
I172014595,2017-02-22 20:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172014595,2017-02-22 20:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172014851,2017-02-23 21:59:32+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172014754,2017-02-23 15:33:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172016312,2017-02-28 18:16:15+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172018486,2017-03-08 15:51:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172019108,2017-03-10 16:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172020425,2017-03-15 22:03:29+00,A15,Non-Fatal,Female,White,Not Hispanic or Latinx,f
I172024478,2017-03-29 19:56:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172023114,2017-03-24 21:37:00+00,B3,Non-Fatal,Female,White,Hispanic or Latinx,f
I172024077,2017-03-28 13:00:53+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172024785,2017-03-30 19:20:14+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172026026,2017-04-03 23:07:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172026760,2017-04-06 15:10:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172027171,2017-04-07 21:05:38+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172027171,2017-04-07 21:05:50+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172028061,2017-04-11 08:40:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172028270,2017-04-11 19:44:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172028584,2017-04-12 19:59:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172028574,2017-04-12 19:34:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172028837,2017-04-13 16:13:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172029267,2017-04-15 01:18:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172029428,2017-04-15 16:54:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152061366,2015-07-24 23:54:47+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172029794,2017-04-17 00:48:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172031211,2017-04-21 20:53:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,f
I172031721,2017-04-23 20:33:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172031721,2017-04-23 20:33:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172031736,2017-04-23 22:13:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172031740,2017-04-23 22:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172031688,2017-04-23 18:40:00+00,E13,Non-Fatal,Female,White,Hispanic or Latinx,f
I152042735-00,2015-05-24 23:27:49+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152043021-00,2015-05-25 23:04:35+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172032046,2017-04-24 20:01:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172032046,2017-04-24 20:01:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172032306,2017-04-25 18:23:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172033610,2017-04-30 00:06:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172033274,2017-04-28 22:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172033274,2017-04-28 22:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172033274,2017-04-28 22:28:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I172032945,2017-04-27 21:57:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172034834,2017-05-03 21:54:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172034834,2017-05-03 21:54:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172035478,2017-05-05 21:35:38+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172035784,2017-05-07 02:04:01+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172037777,2017-05-13 22:57:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172037641,2017-05-13 13:40:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,t
I172037641,2017-05-13 13:40:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172036626,2017-05-09 23:33:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,f
I172036620,2017-05-09 22:36:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172040229,2017-05-21 22:10:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172040210,2017-05-21 20:55:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172039930,2017-05-20 20:16:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172039041,2017-05-18 01:48:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172040839,2017-05-23 22:52:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I172041785,2017-05-26 22:05:40+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172041830,2017-05-27 02:36:15+00,A1,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172041368,2017-05-25 15:02:10+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I172044027,2017-06-03 14:24:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172044102,2017-06-03 18:38:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172043809,2017-06-02 17:58:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172043809,2017-06-02 17:58:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172045331,2017-06-07 21:56:00+00,D4,Non-Fatal,Female,White,Hispanic or Latinx,f
I172045333,2017-06-07 22:07:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I172045363,2017-06-07 22:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172045363,2017-06-07 22:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172045372,2017-06-08 01:42:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I172046423,2017-06-11 12:48:28+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172046001,2017-06-10 01:02:23+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172045999,2017-06-10 00:33:13+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172045865,2017-06-09 15:32:44+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172046900,2017-06-12 20:44:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172046848,2017-06-12 17:44:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172047249,2017-06-13 18:59:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172047604,2017-06-14 18:11:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I172048352,2017-06-16 22:32:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172048679,2017-06-18 03:02:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172048679,2017-06-18 03:02:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172049184,2017-06-19 20:30:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172049184,2017-06-19 20:30:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172050864,2017-06-25 00:11:00+00,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172050866,2017-06-25 00:10:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I172050746,2017-06-24 16:29:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172051446,2017-06-26 19:27:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172051378,2017-06-26 16:14:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172051926,2017-06-28 09:52:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172052230,2017-06-29 02:11:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172052541,2017-06-30 00:42:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I172052541,2017-06-30 00:42:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I172052482,2017-06-29 20:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172052482,2017-06-29 20:30:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I172053412,2017-07-02 23:10:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172053412,2017-07-02 23:10:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,t
I172053412,2017-07-02 23:10:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172053409,2017-07-02 23:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172053177,2017-07-02 02:32:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172053026,2017-07-01 15:24:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172054029,2017-07-05 02:36:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172053885,2017-07-04 16:54:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172053819,2017-07-04 09:56:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
172053760,2017-07-04 01:36:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172053750,2017-07-03 23:37:00+00,D4,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I172053750,2017-07-03 23:37:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172053750,2017-07-03 23:37:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172054407,2017-07-06 00:22:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172054624,2017-07-06 18:44:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172054624,2017-07-06 18:44:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172054477,2017-07-06 10:38:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172054982,2017-07-07 22:43:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172055874,2017-07-10 21:45:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,f
I172055848,2017-07-10 19:25:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,f
I172056146,2017-07-11 19:32:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172056326,2017-07-12 12:01:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172057407,2017-07-15 22:51:37+00,D4,Fatal,Male,White,Hispanic or Latinx,f
I172057488,2017-07-16 08:54:23+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172057678,2017-07-16 22:11:10+00,C11,Fatal,Male,White,Not Hispanic or Latinx,f
I172056811,2017-07-13 22:26:40+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172058042,2017-07-17 23:42:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172057934,2017-07-17 17:23:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172057934,2017-07-17 17:23:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172059929,2017-07-24 01:04:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172058490,2017-07-19 11:35:49+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172058253,2017-07-18 16:17:23+00,B2,Fatal,Male,White,Not Hispanic or Latinx,f
I172061068,2017-07-27 16:00:59+00,D4,Non-Fatal,Male,White,Hispanic or Latinx,f
I172062010,2017-07-30 19:21:13+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172061771,2017-07-29 21:23:17+00,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,f
I172061724,2017-07-29 18:05:08+00,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I172062015,2017-07-30 19:21:31+00,E18,Non-Fatal,Male,Unknown,Unknown,f
I172062994,2017-08-02 16:02:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172064337,2017-08-06 22:28:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172064657,2017-08-07 19:00:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172065378,2017-08-09 22:33:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172065378,2017-08-09 22:33:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172066626,2017-08-13 23:29:41+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172066626,2017-08-13 23:29:22+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172066494,2017-08-13 13:59:55+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172066370,2017-08-12 23:09:14+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172065913,2017-08-11 15:03:52+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172067867,2017-08-17 15:43:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172068204,2017-08-18 17:30:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172068552,2017-08-19 19:46:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172068555,2017-08-19 20:40:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I172068602,2017-08-20 00:03:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172068602,2017-08-20 00:03:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I172068628,2017-08-20 02:17:00+00,A1,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172068628,2017-08-20 02:17:00+00,A1,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172068857,2017-08-20 21:39:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172072578,2017-09-01 18:28:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172073486,2017-09-05 10:46:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172074007,2017-09-06 23:15:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172075277,2017-09-10 22:23:00+00,C11,Fatal,Female,White,Not Hispanic or Latinx,f
I172075240,2017-09-10 21:14:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172075218,2017-09-10 19:21:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172075218,2017-09-10 19:21:59+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172074561,2017-09-08 17:00:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172075842,2017-09-12 18:47:00+00,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172075882,2017-09-12 21:16:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172076568,2017-09-15 23:57:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172076580,2017-09-15 01:12:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172077221,2017-09-16 21:43:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172076865,2017-09-15 19:15:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172077463,2017-09-17 17:52:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172077711,2017-09-18 13:59:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172079527,2017-09-24 06:39:00+00,C6,Fatal,Male,Black or African American,Hispanic or Latinx,f
I172079426,2017-09-23 22:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172079451,2017-09-23 22:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172079368,2017-09-23 17:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172078541,2017-09-21 12:21:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172081437,2017-09-29 19:51:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172081419,2017-09-29 19:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172081490,2017-09-30 00:53:00+00,B2,Non-Fatal,Female,White,Hispanic or Latinx,t
I172081490,2017-09-30 00:53:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,t
I172081720,2017-09-30 23:41:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172081919,2017-10-01 16:41:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172081989,2017-10-01 21:57:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172082312,2017-10-03 02:23:00+00,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I172084330,2017-10-09 22:02:44+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172083822,2017-10-07 22:36:01+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172025670,2017-04-02 21:28:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172085057,2017-10-12 01:41:14+00,E18,Non-Fatal,Female,White,Not Hispanic or Latinx,f
I172085715,2017-10-14 02:11:13+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172086572,2017-10-17 04:15:00+00,C6,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172087162,2017-10-18 22:51:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172087117,2017-10-18 21:11:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172087538,2017-10-20 00:22:00+00,C11,Fatal,Male,White,Hispanic or Latinx,f
I172088148,2017-10-22 00:08:00+00,A7,Non-Fatal,Male,White,Hispanic or Latinx,f
I172090526,2017-10-29 20:22:00+00,C6,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172089911,2017-10-27 18:49:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172089929,2017-10-27 18:59:00+00,B2,Non-Fatal,Female,Black or African American,Hispanic or Latinx,t
I172089929,2017-10-27 18:59:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,t
I172089961,2017-10-27 21:42:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172089976,2017-10-27 22:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172090013,2017-10-28 01:03:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172090013,2017-10-28 01:03:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172090013,2017-10-28 01:03:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172090493,2017-10-29 18:24:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172091222,2017-10-31 23:47:00+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172093007,2017-11-06 20:05:00+00,D4,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172092857,2017-11-06 21:03:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172093656,2017-11-09 01:26:00+00,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,f
I172093639,2017-11-08 22:13:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172093639,2017-11-09 23:17:48+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172096494,2017-11-19 16:09:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172096406,2017-11-18 20:09:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172096197,2017-11-18 00:27:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172098079,2017-11-25 14:11:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172098008,2017-11-25 06:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172097866,2017-11-24 16:13:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172098716,2017-11-27 23:19:00+00,C6,Fatal,Male,White,Hispanic or Latinx,t
I172098716,2017-11-27 23:19:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,t
I172099946,2017-12-01 23:47:02+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172099808,2017-12-01 14:00:58+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172100477,2017-12-03 19:45:04+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
172100800,2017-12-04 21:50:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172101534,2017-12-07 13:18:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172101621,2017-12-07 17:35:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172101691,2017-12-07 19:45:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,f
I172101369,2017-12-06 19:50:00+00,B2,Fatal,Male,White,Hispanic or Latinx,t
I172101369,2017-12-06 19:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172101369,2017-12-06 19:50:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172102399,2017-12-10 16:41:00+00,A7,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172102399,2017-12-10 16:41:00+00,A7,Non-Fatal,Male,White,Hispanic or Latinx,t
I172102009,2017-12-09 00:21:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172104058,2017-12-16 20:29:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I172104020,2017-12-16 17:33:00+00,D14,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172104064,2017-12-16 21:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172103321,2017-12-14 04:58:43+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172104845,2017-12-19 19:16:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172105110,2017-12-20 16:57:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172105110,2017-12-20 16:57:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I172106125,2017-12-24 21:08:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I172106158,2017-12-25 01:11:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
